feature_id	area	feature	role	user_story	expected_behavior	code_evidence	test_evidence	test_status	observed_errors	fix_status	retest_status	last_checked
F054	Teacher tools	Guest reconcile	Teacher	As a teacher, I want to scan or type a guest pass and reconcile cloud work into a roster account.	teacher-guest-reconcile.html starts/stops camera scanner, scans photo/screenshot, accepts manual guest names, loads roster options, looks up work count, and calls reconcile where student answers win conflicts.	teacher-guest-reconcile.html	tests/desk-guest-chat.test.js; tests/roster-prefill.test.js	Automated post-fix pass: root 7424/7424; server 1061/1061 where applicable.		No open automated failures.	Passed automated suite 2026-06-21.	2026-06-22
F055	Teacher tools	Schoology sync utilities	Teacher/developer	As a teacher maintaining grades, I want Schoology sync tools to reconcile IDs, build fixtures, and push grades safely.	tools/schoology_sync_section.py and related tests parse Schoology pages, reconcile IDs idempotently, build fixtures, and push gradebook values through operation abstractions.	tools/schoology_sync_section.py; tools/build_schoology_fixture.py	tests/test_schoology_sync_section.py; tests/test_schoology_reconcile_idempotency.py; tests/test_schoology_ops.py	Automated post-fix pass: root 7424/7424; server 1061/1061 where applicable.		No open automated failures.	Passed automated suite 2026-06-21.	2026-06-22
F056	Teacher/dev tools	Level editor	Developer/teacher	As a level author, I want to build and validate classroom levels before running them live.	tools/level-editor.html and level tests support structure/lint/simulation for activity levels used by the classroom board.	tools/level-editor.html; activity-level.js	tests/level-editor.test.js; tests/level-editor-lint.test.js; tests/level-editor-sim.test.js	Automated post-fix pass: root 7424/7424; server 1061/1061 where applicable.		No open automated failures.	Passed automated suite 2026-06-21.	2026-06-22
F057	Server API	Health and deployment config	Developer/teacher	As an operator, I want the roster service to expose health and use safe server-only secrets.	roster-server exposes /health, uses env-based Supabase service role/token/teacher secrets, and documents Railway/Supabase deployment and smoke tests.	roster-server/server.js; roster-server/README.md	roster-server/tests/auth.test.js	Automated post-fix pass: root 7424/7424; server 1061/1061 where applicable.		No open automated failures.	Passed automated suite 2026-06-21.	2026-06-22
F058	Server API	Grade computation and rollups	Student/teacher	As a student or teacher, I want grades to be computed consistently from ledger and manifest data.	Server grade, lesson-grade, grade-config, scoring, rollup, and gradebook-grid modules compute quarter grades, unit grades, evidence tiers, blank handling, and rollup summaries.	roster-server/grade.js; roster-server/lesson-grade.js; roster-server/scoring.js; roster-server/rollup.js	roster-server/tests/grade.test.js; roster-server/tests/lesson-grade-v3.test.js; roster-server/tests/grade-sim-invariants.test.js	Automated post-fix pass: root 7424/7424; server 1061/1061 where applicable.		No open automated failures.	Passed automated suite 2026-06-21.	2026-06-22
F059	Server API	Transcript and canonical records	Student/teacher	As a student or teacher, I want transcript records to reflect canonical grade state.	Server transcript routes/modules expose transcript and canonical transcript behavior backed by tests.	roster-server/transcript.js; roster-server/transcript-canonical.js	roster-server/tests/transcript.test.js; roster-server/tests/transcript-canonical.test.js	Automated post-fix pass: root 7424/7424; server 1061/1061 where applicable.		No open automated failures.	Passed automated suite 2026-06-21.	2026-06-22
F060	Content/data	Data manifests and skill maps	Developer/teacher	As a maintainer, I want lesson, work, answer, skill, DAG, and AP cartridge data to validate so app features do not drift.	Data files and build scripts produce wrappers/manifests; tests validate work manifest, answer key, skill map, DAG renderer, curriculum charts, and framework parsing.	data/*.json; data/*.js; scripts/build-*.mjs; lib/*.js	tests/work-manifest.test.js; tests/answer-key.test.js; tests/skill-map.test.js; lib/dag-renderer.test.js; tests/framework-parse.test.js	Automated post-fix pass: root 7424/7424; server 1061/1061 where applicable.		No open automated failures.	Passed automated suite 2026-06-21.	2026-06-22
F061	Public worksheets	Worksheet table of contents	Student	As a student, I want a table of contents for all video follow-along worksheets.	index.html links TOC.html and describes 69 video follow-alongs across Units 1-9; lesson HTML files are present for each unit/lesson.	TOC.html; u*_lesson*_live.html	tests/remaining-feature-contracts.test.js (6/6)	Automated post-fix pass: root 7424/7424; server 1061/1061 where applicable.	None found in focused remaining-feature contract test.	No code fix required; behavior pinned by automated coverage.	Passed focused retest and full root suite post-fix.	2026-06-22
F062	External tools	Equation trainer link	Student	As a student, I want the formula trainer to open externally without replacing the course site.	index.html links the external tmux trainer with target _blank and rel noopener, labeled as external.	index.html	tests/remaining-feature-contracts.test.js (6/6)	Automated post-fix pass: root 7424/7424; server 1061/1061 where applicable.	None found in focused remaining-feature contract test.	No code fix required; behavior pinned by automated coverage.	Passed focused retest and full root suite post-fix.	2026-06-22
F063	Worksheets	AI reflection grading and enriched pass	Student	As a student, I want to grade my written reflections with AI and get E/P/I feedback plus a polished "enriched" version of my answer, with my grade only ever raised.	Each worksheet's ReflectionGrader grades free-response textareas via /api/ai/grade, shows an E/P/I score badge with feedback, renders an upgrade-only enriched/polished answer, applies a short-answer gate, and never lowers a prior score; wired across all 69 worksheets by scripts/wire-ai-worksheet-grade.mjs.	u3_lesson6-7_live.html; scripts/wire-ai-worksheet-grade.mjs; ai-grading-prompts.js	tests/reflection-grader.test.js; tests/ai-worksheet-grade.test.js; tests/grading-prompts.test.js; tests/grading-prompts-u4.test.js	Automated post-fix pass: root 7424/7424; server 1061/1061 where applicable.		No code fix required; coverage row added 2026-06-22 to close an audit-found tracker gap (capability already shipped with tests, no representing row).	Passed automated suite 2026-06-22.	2026-06-22
F064	Worksheets	Reflection appeal system	Student	As a student, I want to appeal a P/I reflection score with written reasoning (up to 3 times, with the score never lowered) so I can dispute and improve my mastery credit.	ReflectionGrader.submitAppeal POSTs /api/ai/appeal; the feedback UI shows a "Disagree? Explain your reasoning" form gated by AI-graded && score!=E && appealCount<3, requires >=10 chars, tracks n/3 appeals used, and clamps so an appeal can never lower the prior score; replicated across all 69 worksheets.	u3_lesson6-7_live.html; scripts/wire-appeal-clamp.mjs	tests/appeal-state-machine.test.js; tests/appeal-clamp-live.test.js	Automated post-fix pass: root 7424/7424; server 1061/1061 where applicable.		No code fix required; coverage row added 2026-06-22 to close an audit-found tracker gap (capability already shipped with tests, no representing row).	Passed automated suite 2026-06-22.	2026-06-22
F065	Worksheets	Class answer distribution drawer	Student	As a student, I want a "Class" button on each worksheet question that opens a drawer of bar charts showing how the whole class answered each blank, refreshing as answers are saved.	injectAggregateButtons adds a per-question Class trigger; openDrawerForQuestion opens the #aggregateDrawer slide-out and renderAllBlanksInDrawer draws per-blank class-distribution bar charts from fetchQuestionStats (/api/question-stats); present across all 69 worksheets.	u3_lesson6-7_live.html; railway_client.js	tests/aggregate-drawer.test.js	Automated post-fix pass: root 7424/7424; server 1061/1061 where applicable.		No code fix required; coverage row added 2026-06-22 to close an audit-found tracker gap (capability already shipped with tests, no representing row).	Passed automated suite 2026-06-22.	2026-06-22
F066	Desk shell	Stale-tab update nudge	Student/teacher	As a Desk user with a long-open tab, I want to be told when a newer build is deployed so I can reload off a stale cached version.	_wireUpdateNudge fetches version.json (cache:no-store) and compares v.build to APP_BUILD on an interval and on tab refocus; on mismatch it shows a dismissible reload banner. scripts/bump-build.mjs keeps version.json.build === APP_BUILD (no-loop invariant).	ap_stats_roadmap_square_mode.html; version.json; scripts/bump-build.mjs	tests/desk-update-nudge.test.js	Automated post-fix pass: root 7424/7424; server 1061/1061 where applicable.		No code fix required; coverage row added 2026-06-22 to close an audit-found tracker gap (capability already shipped with tests, no representing row).	Passed automated suite 2026-06-22.	2026-06-22
F067	Desk shell	Menu-bar sound mute toggle	Student/teacher	As a Desk user, I want to mute/unmute all Desk sound effects from the menu bar with a 1-bit speaker icon and have the choice persist.	The #mac-mute menu-bar control renders a black classic-Mac speaker SVG via _renderSoundIcon, toggles MacSFX mute via _toggleSound, is keyboard-accessible (Enter/Space, role=button, aria-pressed), and reflects on/muted state in the artwork.	ap_stats_roadmap_square_mode.html	tests/desk-sound-icon.test.js	Automated post-fix pass: root 7424/7424; server 1061/1061 where applicable.		No code fix required; coverage row added 2026-06-22 to close an audit-found tracker gap (capability already shipped with tests, no representing row).	Passed automated suite 2026-06-22.	2026-06-22
F068	Live Classroom	Avatar social popover and self-emote	Student	As a student, I want to tap a classmate's Live Classroom avatar to reveal their name and send candy or challenge them to a game, and tap my own avatar for a happy-bounce reaction.	On the student Desk, classroom names are click-to-reveal (no floating labels): tapping a classmate opens a fixed name chip then a 🍬 Send candy / ⚔️ Start a game popover; tapping self plays a happy-bounce emote. Untrusted WS usernames render via textContent and wire via addEventListener (XSS-safe). The teacher cockpit keeps floating names.	ap_stats_roadmap_square_mode.html; classroom-board.js	tests/desk-avatar-menu.test.js; tests/desk-self-emote.test.js	Automated post-fix pass: root 7424/7424; server 1061/1061 where applicable.		No code fix required; coverage row added 2026-06-22 to close an audit-found tracker gap (capability already shipped with tests, no representing row).	Passed automated suite 2026-06-22.	2026-06-22
F069	Wallet	Candy poke gifting	Student	As a student, I want to tap a classmate to send them 1 candy with a 3-second undo and a toast/chime notification, while guest/self/cooldown/balance guards prevent spam or invalid sends.	The avatar Send-candy action runs _candyPoke: an optimistic "Sent 1 candy - Undo" (3s, commit deferred so undo needs no reversal) then POST /wallet/gift; a cosmetic candy_gift_received relay over the classroom WS toasts the recipient (username only; balance is always server truth). Per-recipient cooldown plus the server daily cap bound it.	ap_stats_roadmap_square_mode.html; roster-server/doge-wallet.js	tests/candy-poke.test.js	Automated post-fix pass: root 7424/7424; server 1061/1061 where applicable.		No code fix required; coverage row added 2026-06-22 to close an audit-found tracker gap (capability already shipped with tests, no representing row).	Passed automated suite 2026-06-22.	2026-06-22
F070	Student grades	Sealed transcript export and printable summary	Student/guardian	As a student/guardian, I want to download my sealed quarter transcript JSON and print a QR-verifiable one-page progress summary so a parent or verifier can confirm grades offline.	exportSealedTranscript fetches /transcript with a Bearer token and downloads the signed transcript as a JSON Blob via a generated anchor; printSealedSummary renders a printable summary; both show a sign-in message and never emit an empty file when no token is present.	ap_stats_roadmap_square_mode.html; roster-server/transcript.js	tests/remaining-feature-contracts.test.js	Automated post-fix pass: root 7424/7424; server 1061/1061 where applicable.		Coverage row + new automated test added 2026-06-22 to close an audit-found tracker gap (capability shipped but had no test).	Passed automated suite 2026-06-22.	2026-06-22
F071	Receipts	Progress proto-git commit chain	Student	As a student, I want my ledger receipts grouped into signed, prev-chained work-session commits I can flash as a per-session QR for offline verification.	buildCommits orders immutable ledger receipts, splits them into work sessions on a >25-min idle gap and into MAX_PER_COMMIT(8)-sized QR-fittable chunks, computes an order-independent root per chunk, prev-chains commits, returns {commits, head}, and skips a chunk with duplicate ids; GET /commits serves it behind a verified token.	roster-server/commits.js; roster-server/receipts.js	roster-server/tests/commits.test.js	Automated post-fix pass: root 7424/7424; server 1061/1061 where applicable.		Coverage row + new automated test added 2026-06-22 to close an audit-found tracker gap (capability shipped but had no test).	Passed automated suite 2026-06-22.	2026-06-22
F072	Study tools	Diagnostic study guide peer scoreboard	Student	As a signed-in student, I want to see how my green mastery-node count ranks against classmates so I can gauge my standing.	A Scoreboard button opens showScoreboardModal, which fetches class data via fetchScoreboardData, ranks students by green mastery-node count (descending, name tiebreak), highlights the signed-in student row, shows a midpoint cutoff separator, and is Escape/Close-dismissable.	study_guide_diagnostic.html	tests/remaining-feature-contracts.test.js	Automated post-fix pass: root 7424/7424; server 1061/1061 where applicable.		Coverage row + new automated test added 2026-06-22 to close an audit-found tracker gap (capability shipped but had no test).	Passed automated suite 2026-06-22.	2026-06-22
